"","Issue_Resolution","Issue_Category","Issue_Severity","Support_Level","Support_Channel","Building","City","Position","Country","Tenure_Months","Career_Desc","Division"
"80263"," Request Complete","Apps","Sev2",NA,"Chat","HOME OFFICE","Gurley","Relationship Management","US ",9,"IC3","D006433"
"79797","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Technical Delivery","IN ",5,"IC2","D007359"
"290","Unknown","Apps","Sev2",NA,"Phone","B0273","Dallas","Retail","US ",88,"IC3","D006433"
"45987","Unknown","Apps","Sev2",NA,"Email","B0108","Sunnyvale","IT Operations","US ",190,"IC4","D006433"
"32969","Software Update","Apps","Sev3",NA,"Phone","B0044","SUNNYVALE","Software Engineering","US ",144,"EXEC4","D006433"
"16851","Resolved by Caller","Apps","Sev1",NA,"Chat","B0738","Cork","Inside Sales","IE ",12,"IC1","D015571"
"74871"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Mumbai","Support Delivery","IN ",89,"IC4","D013158"
"66462","Unknown","Apps","Sev3",NA,"Email","B0672","New York","Finance","US ",35,"IC3","D006433"
"60444","Resolved by Caller","Apps","Sev2",NA,"Chat","MOBILE","Wallisellen","Support Delivery","CH ",15,"IC3","D019166"
"64475"," User Education","Apps","Sev2",NA,"Email","B0123","Sunnyvale","Program Management","US ",147,"IC4","D006433"
"59735"," User Education","Apps","Sev3",NA,"Chat","B0672","New York","Support Engineering","US ",31,"IC4","D006433"
"1464"," User Education","Apps","Sev2",NA,"Email","B0848","Mumbai","Business Intelligence","IN ",155,"IC4","D007359"
"20707"," Workaround","Apps","Sev2",NA,"Email","B0678","Sunnyvale","Quality","US ",305,"IC5","D006433"
"24804"," Request Complete","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",17,"IC3","D006433"
"14824"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Tokyo","Relationship Management","JP ",192,"IC4","D001939"
"5480"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Downers Grove","Solution Sales","US ",8,"IC4","D006433"
"50395"," User Education","Apps","Sev3",NA,"Chat","MOBILE","Reston","Support Delivery","US ",50,"IC4","D006433"
"1572"," Request Complete","Apps","Sev3","Silver","Email","B0921","Seattle","Program Management","US ",137,"IC3","D006433"
"23105"," User Education","Apps","Sev3","Silver","Chat","MOBILE","Prague","Relationship Management","CZ ",33,"MGR3","D008013"
"24510"," User Education","Apps","Sev3",NA,"Email","MOBILE","Toulouse","Licensing","FR ",24,"IC2","D008654"
"41449"," Workaround","Apps","Sev2","Gold","Email","MOBILE","Raanana","Relationship Management","IL ",17,"IC4","D006908"
"29949"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Raanana","Relationship Management","IL ",91,"IC5","D006908"
"27499","Unknown","Apps","Sev2",NA,"Email","B0182","Sunnyvale","Finance","US ",72,"IC5","D006433"
"63377"," Workaround","Apps","Sev2",NA,"Email","HOME OFFICE","Leesburg","Relationship Management","US ",47,"IC4","D006433"
"36225"," Workaround","Apps","Sev2","Gold","Email","B0809","Sunnyvale","Finance","US ",24,"IC4","D006433"
"25724","Unknown","Apps","Sev2",NA,"Email","B0383","Singapore","Business Operations","SG ",125,"IC5","D009703"
"51668"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Jeddah","Relationship Management","SA ",76,"IC5","D005568"
"20100","Resolved by Caller","Apps","Sev2","Silver","Email","B0809","Sunnyvale","Finance","US ",16,"IC3","D006433"
"49472","Unknown","Apps","Sev2",NA,"Email","MOBILE","Milan","Relationship Management","IT ",79,"IC2","D008747"
"65371","Non-Actionable","Help","Sev2",NA,"Email","HOME OFFICE","Washington Twp","Service Engineering","US ",88,"IC4","D006433"
"16394"," User Education","Apps","Sev1",NA,"Chat","B0774","Sunnyvale","Business Strategy","US ",148,"MGR4","D006433"
"10076"," Workaround","Apps","Sev2",NA,"Email","B0413","Sunnyvale","Business Operations","US ",119,"IC3","D006433"
"13351"," Workaround","Apps","Sev1",NA,"Chat","B0738","Cork","Inside Sales","IE ",6,"IC3","D015571"
"60763","Unknown","Apps","Sev2",NA,"Email","B0711","Seattle","Support Engineering","US ",68,"IC4","D006433"
"59707"," Workaround","Apps","Sev2","Silver","Chat","MOBILE","Denver","Relationship Management","US ",82,"IC3","D006433"
"49968"," Workaround","Apps","Sev2","Gold","Phone","B0934","Mumbai","Software Engineering","IN ",78,"IC2","D013936"
"17939"," User Education","Apps","Sev3",NA,"Email","B0383","Singapore","Operations","SG ",139,"IC4","D009703"
"41149","Software Update","Apps","Sev2","Silver","Chat","MOBILE","Toulouse","Relationship Management","FR ",69,"IC3","D008654"
"39676"," User Education","Apps","Sev2",NA,"Email","MOBILE","taipei","Licensing","TW ",45,"IC3","D008850"
"32299","Unknown","Apps","Sev2",NA,"Chat","B0383","Singapore","Operations","SG ",11,"IC5","D009703"
"22158"," Workaround","Apps","Sev2",NA,"Chat","B0767","Zaventem","Account Management","BE ",213,"IC5","D010467"
"50617"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",227,"IC4","D006433"
"28104"," User Education","Apps","Sev3",NA,"Email","B0466","Sunnyvale","Software Engineering","US ",114,"IC4","D006433"
"24684"," User Education","Apps","Sev2",NA,"Email","MOBILE","Bangkok","Account Management","TH ",0,NA,"D014991"
"3248"," Request Complete","Apps","Sev2",NA,"Chat","B0228","Sunnyvale","Supply Chain","US ",29,"IC4","D006433"
"46498"," Workaround","Apps","Sev1","Silver","Chat","MOBILE","Burlington","Account Management","US ",101,"IC4","D006433"
"28357"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Cork","Support Delivery","IE ",11,"IC3","D015571"
"26955"," User Education","Apps","Sev3",NA,"Email","MOBILE","Burlington","Relationship Management","US ",32,"IC3","D006433"
"29261"," Workaround","Apps","Sev3",NA,"Phone","MOBILE","Berlin","Support Delivery","DE ",31,"IC3","D014045"
"45766"," Workaround","Apps","Sev2",NA,"Chat","B0460","Sunnyvale","Risk Management","US ",53,"MGR2","D006433"
"52056"," Workaround","Apps","Sev2","Silver","Email","B0169","Sunnyvale","Marketing","US ",97,"IC4","D006433"
"33025"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Espoo","Relationship Management","FI ",197,"IC4","D013149"
"60347"," Workaround","Apps","Sev1",NA,"Email","B1009","Berlin","HR Management","DE ",195,"MGR4","D014045"
"22988","Software Update","Apps","Sev2","Silver","Email","B0818","Sunnyvale","Operations","US ",111,"IC3","D006433"
"10649"," User Education","Apps","Sev3",NA,"Email","B0135","Reno","Operations","US ",53,"IC3","D006433"
"22559"," User Education","Apps","Sev2",NA,"Email","B0912","Austin","Account Management","US ",41,"IC2","D006433"
"54935","Unknown","Apps","Sev1",NA,"Chat","HOME OFFICE","London","Relationship Management","US ",34,"IC4","D006433"
"4455"," Request Complete","Apps","Sev2",NA,"Email","B0278","Troy","Retail","US ",53,"IC3","D006433"
"53882"," User Education","Apps","Sev2",NA,"Email","B0659","Sunnyvale","Program Management","US ",52,"IC3","D006433"
"51586"," User Education","Apps","Sev2",NA,"Email","MOBILE","Edina","Solution Sales","US ",20,"IC4","D006433"
"56156","Resolved by Caller","Apps","Sev2","Silver","Email","MOBILE","Zagreb","Business Development","HR ",4,"IC3","D000717"
"81384"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Milan","Relationship Management","IT ",4,"IC5","D008747"
"1885","Non-Actionable","Help","Sev2","Silver","Email","B0383","Singapore","Account Management","SG ",50,"IC3","D018994"
"18497"," Request Complete","Apps","Sev1",NA,"Chat","MOBILE","Bloomington-","Account Management","US ",3,NA,"D006433"
"63392","Non-Reproducible","Apps","Sev3",NA,"Chat","MOBILE","Malvern","Licensing","US ",66,"IC4","D006433"
"30243"," Workaround","Apps","Sev1",NA,"Chat","B0671","New Delhi","Relationship Management","IN ",15,"IC3","D010831"
"48526"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Technical Delivery","IN ",13,"IC2","D007359"
"82714","Unknown","Apps","Sev3",NA,"Chat","MOBILE","TAMPA","Support Delivery","US ",89,"IC4","D006433"
"63094","Unknown","Apps","Sev1",NA,"Chat","B0123","Sunnyvale","IT Operations","US ",172,"IC4","D006433"
"52745","Unknown","Apps","Sev1",NA,"Email","B0685","Sunnyvale","Business Intelligence","US ",49,"IC4","D006433"
"6927"," User Education","Apps","Sev2","Silver","Email","B0029","Austin","Support Engineering","US ",208,"IC5","D006433"
"16168"," User Education","Apps","Sev3",NA,"Email","B0618","Shanghai","Account Management","CN ",68,"IC4","D005841"
"39269"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Calgary","Relationship Management","CA ",109,"IC3","D008805"
"9466"," Request Complete","Apps","Sev1",NA,"Chat","B0383","Singapore","Business Operations","SG ",33,"IC4","D009703"
"59513"," Workaround","Apps","Sev3",NA,"Email","B0741","Sunnyvale","Business Operations","US ",26,"IC3","D006433"
"52483"," Workaround","Apps","Sev2",NA,"Phone","B0934","Mumbai","Software Engineering","IN ",31,"IC2","D013936"
"1608"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Zaventem","Account Management","BE ",91,"MGR3","D010467"
"36389"," User Education","Apps","Sev2",NA,"Email","MOBILE","Houston","Relationship Management","US ",66,"IC4","D006433"
"68490","Resolved by Caller","Apps","Sev2",NA,"Email","MOBILE","Espoo","Hardware Engineering","FI ",15,"IC5","D013149"
"9358","Software Update","Apps","Sev2",NA,"Chat","B0711","Seattle","Quality","US ",52,"IC4","D006433"
"22520","Software Update","Apps","Sev1",NA,"Chat","MOBILE","Barueri","Relationship Management","BR ",112,"IC4","D007007"
"25635"," Workaround","Apps","Sev3",NA,"Email","B0086","New York","Software Engineering","US ",202,"IC3","D006433"
"57164","Unknown","Apps","Sev2",NA,"Phone","MOBILE","morrisville","Support Delivery","US ",29,"IC3","D006433"
"624","Software Update","Apps","Sev2","Silver","Email","B0370","New York","Business Operations","US ",162,"IC3","D006433"
"39122"," Workaround","Apps","Sev3",NA,"Chat","B0608","Cologne","Relationship Management","DE ",215,"IC4","D014045"
"65760"," Workaround","Apps","Sev2",NA,"Email","B0095","Tokyo","Account Management","JP ",9,"IC1","D001939"
"46271"," User Education","Apps","Sev2",NA,"Chat","B0471","Herzelia","Software Engineering","IL ",29,"IC4","D013175"
"20176"," User Education","Apps","Sev1",NA,"Chat","B0848","Mumbai","Relationship Management","IN ",17,"IC2","D007359"
"75482"," Hardware Repair","Apps","Sev3",NA,"Phone","B0934","Mumbai","Service Engineering","IN ",72,"IC3","D013936"
"15587"," User Education","Apps","Sev3",NA,"Chat","MOBILE","Espoo","Technical Delivery","FI ",58,"IC5","D013149"
"40002","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Guaynabo","Support Delivery","PR ",109,"IC4","D006421"
"24384","Unknown","Apps","Sev2",NA,"Email","MOBILE","Vienna","Licensing","AT ",22,"IC3","D004071"
"6998"," Workaround","Apps","Sev3",NA,"Email","B0711","Seattle","Quality","US ",77,"IC4","D006433"
"22786"," User Education","Apps","Sev2",NA,"Email","MOBILE","Schiphol","Relationship Management","NL ",40,"IC4","D008233"
"33542"," User Education","Apps","Sev2",NA,"Phone","MOBILE","Nashville","Solution Sales","US ",18,"IC3","D006433"
"7830","Resolved by Caller","Apps","Sev1","Silver","Chat","HOME OFFICE","Metairie","Relationship Management","US ",17,"IC3","D006433"
"22760"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Gurgaon","Finance","IN ",34,"IC4","D013158"
"28384","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Reston","Technical Delivery","US ",15,"IC4","D006433"
"22946","Resolved by Caller","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",183,"IC3","D006433"
"33743"," User Education","Apps","Sev2",NA,"Email","MOBILE","Barueri","Support Delivery","BR ",56,"IC3","D007007"
"50999"," Workaround","Apps","Sev1",NA,"Phone","B0635","Atlanta","Relationship Management","US ",238,"IC4","D006433"
"14111","Non-Actionable","Help","Sev2",NA,"Email","MOBILE","Bogota","Licensing","CO ",69,"IC4","D016128"
"78160"," User Education","Apps","Sev2","Silver","Email","MOBILE","Schiphol","Technical Delivery","NL ",162,"MGR3","D008233"
"38403"," User Education","Apps","Sev2",NA,"Email","B0429","Sunnyvale","Program Management","US ",207,"IC3","D006433"
"28812"," Workaround","Apps","Sev3",NA,"Email","MOBILE","Guaynabo","Relationship Management","PR ",164,"IC4","D006421"
"36191"," User Education","Help","Sev2",NA,"Email","B0205","Reno","Operations","US ",38,"IC3","D006433"
"26601","Non-Actionable","Help","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",23,"IC4","D006433"
"144","Unknown","Apps","Sev1",NA,"Chat","B0934","Mumbai","Software Engineering","IN ",55,"IC4","D013936"
"66886"," User Education","Apps","Sev2","Silver","Chat","MOBILE","Rome","Relationship Management","IT ",25,"IC4","D008747"
"7230"," Workaround","Apps","Sev1",NA,"Chat","B0640","London","Business Operations","GB ",240,"IC4","D010405"
"75568","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Toulouse","Relationship Management","FR ",235,"IC4","D008654"
"17866"," Workaround","Apps","Sev1",NA,"Email","MOBILE","Sammamish","Marketing","US ",208,"IC5","D009703"
"19052"," Workaround","Apps","Sev2",NA,"Email","HOME OFFICE","Chicago","Relationship Management","US ",16,"IC2","D006433"
"59788"," Workaround","Apps","Sev3",NA,"Email","B0589","Sunnyvale","Program Management","US ",141,"IC3","D006433"
"81048","Non-Actionable","Help","Sev2",NA,"Email","B0331","SUNNYVALE","Program Management","US ",38,"IC3","D006433"
"26114"," User Education","Apps","Sev2",NA,"Phone","B0730","Humacao","Service Engineering","PR ",16,"IC2","D003311"
"45599"," User Education","Apps","Sev3","Silver","Chat","MOBILE","Kuala Lumpur","Support Delivery","MY ",32,"IC2","D006206"
"36394","Unknown","Apps","Sev2",NA,"Chat","B0565","Sunnyvale","IT Operations","US ",73,"IC4","D006433"
"60413"," User Education","Apps","Sev3",NA,"Chat","B0064","Salem","Retail","US ",23,"IC6","D006433"
"31553"," Workaround","Apps","Sev3",NA,"Email","B0862","Sunnyvale","Program Management","US ",210,"MGR3","D006433"
"26730"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",113,"IC4","D006433"
"23312"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",23,"IC4","D006433"
"40782"," User Education","Apps","Sev2","Silver","Email","B0540","Cairo","Relationship Management","EG ",59,"IC3","D003381"
"39684","Unknown","Apps","Sev2",NA,"Phone","B0163","TAMPA","Support Delivery","US ",21,"IC3","D006433"
"60495","Unknown","Apps","Sev2",NA,"Email","B0429","Sunnyvale","Business Operations","US ",61,"IC6","D006433"
"36307","Software Update","Apps","Sev2",NA,"Phone","B0730","Humacao","Service Engineering","PR ",16,"IC2","D003311"
"80923","Unknown","Apps","Sev2",NA,"Chat","B0228","Sunnyvale","Supply Chain","US ",55,"IC4","D006433"
"62106"," User Education","Apps","Sev3",NA,"Email","B0517","New York","Sales Excellence","US ",147,"IC5","D006433"
"32316"," User Education","Apps","Sev2",NA,"Chat","B0142","New Delhi","Support Engineering","IN ",14,"IC4","D009696"
"19703"," Workaround","Apps","Sev1",NA,"Phone","B0100","Beijing","Finance","CN ",40,"IC5","D005841"
"78134"," User Education","Apps","Sev2",NA,"Email","B0934","Mumbai","Service Engineering","IN ",134,"IC4","D013936"
"17720","Resolved by Caller","Apps","Sev2",NA,"Chat","B0370","New York","Business Operations","US ",138,"IC2","D006433"
"57027"," Workaround","Phone","Sev1",NA,"Chat","B0040","Toulouse","Relationship Management","FR ",0,NA,"D008654"
"42330","Unknown","Apps","Sev3",NA,"Chat","B0809","Sunnyvale","Finance","US ",78,"IC4","D006433"
"47068","Resolved by Caller","Apps","Sev2",NA,"Phone","MOBILE","Nashville","Technology Strategy","US ",89,"IC4","D006433"
"74390"," User Education","Apps","Sev2",NA,"Email","MOBILE","Alpharetta","Relationship Management","US ",72,"IC3","D006433"
"51603","Unknown","Apps","Sev2",NA,"Email","B0662","Wallisellen","Support Delivery","CH ",125,"IC4","D019166"
"42283","Software Update","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",72,"IC4","D006433"
"47541"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Singapore","Business Development","SG ",129,"IC5","D009703"
"59546","Resolved by Caller","Apps","Sev2","Silver","Email","B0809","Sunnyvale","Finance","US ",20,"IC3","D006433"
"53909","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Tunis","Support Delivery","TN ",29,"IC3","D018982"
"14832"," Request Complete","Apps","Sev2",NA,"Phone","B0921","Seattle","Software Engineering","US ",103,"IC3","D006433"
"63738"," Workaround","Apps","Sev2",NA,"Phone","HOME OFFICE","Scottsdale","Relationship Management","US ",232,"IC4","D006433"
"80841"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Toulouse","Technical Delivery","FR ",60,"IC4","D008654"
"29073"," Workaround","Apps","Sev2",NA,"Email","B0711","Seattle","Program Management","US ",190,"IC4","D006433"
"47180"," User Education","Apps","Sev2","Silver","Email","MOBILE","Lima","Marketing","PE ",0,NA,"D002957"
"81522","Unknown","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",60,"IC4","D006433"
"9681"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Berlin","Sales Leadership","DE ",54,"MGR4","D014045"
"633"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Atlanta","Support Delivery","US ",9,"IC2","D006433"
"3324","Software Update","Apps","Sev3",NA,"Email","B0383","Singapore","Business Operations","SG ",9,"IC4","D018994"
"83117"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Beijing","Technical Delivery","CN ",227,"IC5","D005841"
"11139","Unknown","Apps","Sev1",NA,"Chat","B0095","Tokyo","Support Engineering","JP ",72,"IC3","D001939"
"82107"," User Education","Apps","Sev3",NA,"Email","B0867","San Jose","Licensing","CR ",7,"IC2","D005412"
"23528"," Workaround","Apps","Sev1",NA,"Chat","B0142","New Delhi","Support Engineering","IN ",21,"IC2","D009696"
"6078"," User Education","Apps","Sev3",NA,"Chat","B0135","Reno","Operations","US ",69,"IC4","D019413"
"54672","Unknown","Apps","Sev2",NA,"Chat","B0095","Tokyo","Account Management","JP ",216,"IC4","D001939"
"31021","Non-Actionable","Help","Sev2",NA,"Email","B0818","Sunnyvale","Operations","US ",28,"IC2","D006433"
"5688","Resolved by Caller","Apps","Sev1",NA,"Phone","MOBILE","Berlin","Business Operations","DE ",48,"IC4","D014045"
"66613"," Workaround","Apps","Sev3",NA,"Email","B0861","SUNNYVALE","Business Operations","US ",223,"IC2","D006433"
"46692"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Reston","Support Delivery","US ",16,"IC3","D006433"
"27705","Unknown","Apps","Sev2",NA,"Chat","B0685","Sunnyvale","Business Operations","US ",69,"IC5","D006433"
"35244","Software Update","Apps","Sev2",NA,"Phone","HOME OFFICE","Rosemount","Sales Excellence","US ",152,"IC5","D006433"
"5027"," Workaround","Infrastructure","Sev1",NA,"Chat","MOBILE","Cincinnati","Account Management","US ",152,"IC4","D006433"
"72474"," User Education","Apps","Sev3",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",13,"IC2","D007359"
"2065"," Workaround","Apps","Sev3","Silver","Chat","B0738","Cork","Inside Sales","IE ",5,"IC2","D015571"
"62205"," Workaround","Apps","Sev3","Silver","Chat","B0097","New Delhi","Support Engineering","IN ",144,"IC4","D009696"
"56898","Unknown","Apps","Sev1",NA,"Chat","B0640","London","Support Engineering","GB ",127,"IC4","D010405"
"37423"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Belgrade","Technical Delivery","RS ",46,"IC4","D005162"
"60242"," Workaround","Apps","Sev2",NA,"Chat","B0097","New Delhi","Support Engineering","IN ",64,"IC3","D009696"
"12580"," Request Complete","Apps","Sev2",NA,"Phone","MOBILE","Oslo-Lysaker","Licensing","NO ",1,NA,"D009472"
"29834","Software Update","Apps","Sev3",NA,"Phone","B0685","Sunnyvale","Marketing","US ",93,"IC4","D006433"
"43721"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Wallisellen","Relationship Management","CH ",20,"IC3","D019166"
"16813"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Beijing","Technology Strategy","CN ",44,"IC3","D005841"
"77894"," Workaround","Apps","Sev3",NA,"Email","MOBILE","Bogota","Licensing","CO ",72,"IC4","D016128"
"2643"," Request Complete","Apps","Sev1",NA,"Email","B0131","Windhoek","Account Management","NA ",14,"IC4","D006387"
"50721"," Workaround","Apps","Sev2",NA,"Email","B0934","Mumbai","Program Management","IN ",115,"IC3","D013936"
"20189"," Workaround","Apps","Sev1","Silver","Chat","B0607","Rome","Relationship Management","IT ",130,"IC3","D008747"
"11726"," User Education","Apps","Sev1",NA,"Email","MOBILE","Dubai","Marketing","AE ",25,"IC5","D002536"
"15961"," User Education","Apps","Sev2",NA,"Email","B0672","New York","Relationship Management","US ",184,"IC3","D006433"
"25896"," Workaround","Apps","Sev2",NA,"Email","B0575","Almaty","Finance","KZ ",15,"IC4","D009202"
"6934","Non-Reproducible","Apps","Sev1","Silver","Chat","MOBILE","Berlin","Relationship Management","DE ",21,"IC3","D014045"
"70064","Software Update","Apps","Sev2",NA,"Email","MOBILE","Chennai","Business Operations","IN ",6,"IC1","D001578"
"58079"," Workaround","Apps","Sev1",NA,"Chat","B0373","Sunnyvale","Support Delivery","US ",228,"IC3","D006433"
"63602"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Burlington","Business Operations","US ",61,"IC4","D006433"
"6627"," User Education","Apps","Sev3",NA,"Phone","B1007","Atlanta","Support Engineering","US ",5,"IC3","D006433"
"53337"," User Education","Apps","Sev2",NA,"Email","B0900","Sunnyvale","Business Support","US ",52,"IC3","D006433"
"16186"," User Education","Apps","Sev2",NA,"Email","MOBILE","Jakarta","Business Development","ID ",13,"IC3","D016205"
"52875","Unknown","Apps","Sev2",NA,"Phone","B0934","Mumbai","Software Engineering","IN ",41,"IC3","D013936"
"79041"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",183,"IC3","D006433"
"64675","Unknown","Apps","Sev1",NA,"Chat","B0724","Bellevue","Business Operations","US ",130,"IC4","D006433"
"71122"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Shenzhen","Relationship Management","CN ",15,"IC4","D005841"
"31556"," Workaround","Apps","Sev2",NA,"Email","B0685","Sunnyvale","Business Operations","US ",23,"IC3","D006433"
"36351","Unknown","Apps","Sev2",NA,"Chat","B0461","Sunnyvale","Finance","US ",123,"IC3","D006433"
"68854"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","morrisville","Support Delivery","US ",107,"IC4","D006433"
